event_id,zone_id,season,start_hour,day_of_week,early_rain_mean,early_outage_ratio,early_traffic_mean,early_aqi_mean,peak_zdi_first_hour,zdi_rise_rate_first_hour,event_flags_active_count_first_hour,affected_hours,avg_hours_fraction
SYN-BLR-02-2023-0000578-ccbf56,BLR-02,dry,18,5,41.5791,0.119867,27.0815,31.3132,34.9722,9.513335,0,3.5099,0.35099
SYN-BLR-02-2022-0000470-4af6d7,BLR-02,dry,19,5,49.3547,0.061845,29.5689,26.1553,36.4519,7.81544,0,4.0543,0.405427
SYN-BLR-02-2024-0002810-268ecc,BLR-02,monsoon,13,6,87.438,0.066442,31.3485,17.8488,40.7188,10.914557,0,7.1765,0.717647
SYN-BLR-02-2026-0002528-717d29,BLR-02,dry,18,1,34.8508,0.067077,37.7847,26.1765,29.6964,6.095952,0,3.1909,0.319089
SYN-BLR-05-2024-0001229-0654af,BLR-05,monsoon,12,5,74.708,0.309192,56.6216,17.8,68.2053,19.3312,1,6.5549,0.655492
SYN-BLR-04-2023-0001684-8e1a4f,BLR-04,dry,13,2,31.6238,0.455636,58.2285,29.1613,30.3257,15.449069,0,2.2038,0.220379
SYN-BLR-03-2025-0002319-b39740,BLR-03,dry,10,1,20.6849,0.124533,33.1376,30.1045,8.7734,8.631106,0,2.1622,0.216221
SYN-BLR-02-2025-0002846-6fd1a9,BLR-02,dry,14,4,44.0789,0.407704,38.0004,30.7885,53.9118,16.555399,1,2.9304,0.293039
SYN-BLR-06-2022-0001854-2b78c7,BLR-06,dry,12,4,13.6562,0.099683,30.209,26.8457,13.11,7.295932,0,1.8937,0.189367
SYN-BLR-06-2024-0000198-952778,BLR-06,pre_monsoon,11,4,52.2075,0.061441,33.769,21.8155,38.2746,6.574311,0,4.7195,0.471954
SYN-BLR-02-2022-0002564-84ef2b,BLR-02,monsoon,5,1,76.1681,0.104157,40.5907,20.4625,41.9261,9.704588,0,6.262,0.6262
SYN-BLR-03-2025-0000855-42386b,BLR-03,dry,5,6,41.3456,0.083488,41.5123,29.761,34.6519,13.184189,0,2.9636,0.296365
SYN-BLR-04-2025-0000718-5c0460,BLR-04,pre_monsoon,3,3,52.1069,0.581679,61.497,23.4753,54.9201,18.682646,0,3.0431,0.304306
SYN-BLR-02-2024-0001790-abdad4,BLR-02,dry,7,5,35.9931,0.127717,50.1776,28.8165,29.3808,4.961515,0,3.3843,0.338434
SYN-BLR-02-2026-0000932-df2a60,BLR-02,dry,23,6,35.9778,0.066518,34.2922,33.2876,22.9128,5.739839,0,3.664,0.366397
SYN-BLR-01-2024-0001657-7911ab,BLR-01,dry,18,5,20.4347,0.053292,20.5161,32.9071,8.8512,5.243385,0,2.3117,0.231171
SYN-BLR-01-2026-0002143-9d7bcb,BLR-01,post_monsoon,13,2,32.3184,0.07811,25.7758,25.0131,18.0642,5.605773,0,3.2324,0.323238
SYN-BLR-01-2026-0000511-3dfaf6,BLR-01,dry,18,5,38.0806,0.088849,49.1266,33.2216,33.9763,8.855816,0,3.7202,0.372017
SYN-BLR-05-2026-0002177-fc7449,BLR-05,monsoon,14,4,73.7736,0.057061,52.4213,13.811,41.0217,9.538655,0,7.1869,0.718693
SYN-BLR-01-2026-0001789-4bdb85,BLR-01,dry,10,4,39.0796,0.069592,35.1959,35.3189,62.6096,10.089036,3,4.9368,0.493678
SYN-BLR-02-2025-0002366-dabd8b,BLR-02,dry,3,0,34.2453,0.118531,35.7156,25.6886,26.5665,8.185272,0,2.9574,0.295743
SYN-BLR-04-2023-0002020-f65673,BLR-04,dry,7,3,9.478,0.067327,17.9518,29.7853,16.6069,2.385926,0,1.2385,0.123845
SYN-BLR-03-2025-0001485-903f0a,BLR-03,monsoon,23,5,77.9924,0.119792,32.551,18.8727,40.25,13.082252,0,6.4218,0.642184
SYN-BLR-06-2026-0000486-adda38,BLR-06,dry,11,3,37.9337,0.053779,38.4092,29.7324,21.7329,4.294379,0,3.6432,0.364318
SYN-BLR-02-2025-0000518-153b05,BLR-02,dry,16,5,24.0943,0.055542,28.6043,29.5248,21.816,6.405342,0,2.8097,0.28097
SYN-BLR-06-2024-0001446-d1bc80,BLR-06,post_monsoon,13,6,41.495,0.434584,43.1516,22.964,44.4721,16.949606,0,2.6231,0.262313
SYN-BLR-01-2024-0001951-d052eb,BLR-01,monsoon,13,4,86.3949,0.076285,32.8598,18.87,54.5064,9.572529,0,7.2421,0.724207
SYN-BLR-04-2025-0002920-2f577e,BLR-04,monsoon,11,1,82.0261,0.534959,53.0318,22.4251,60.7496,18.388439,0,5.9062,0.590619
SYN-BLR-06-2026-0002724-37e894,BLR-06,dry,6,2,23.0713,0.527259,62.1349,23.8337,40.7829,13.67122,0,1.4391,0.143914
SYN-BLR-04-2025-0002128-ea3780,BLR-04,post_monsoon,16,5,39.802,0.113372,51.9773,22.0182,25.9022,7.106403,0,4.3927,0.439269
SYN-BLR-03-2026-0001419-fdd966,BLR-03,dry,16,2,38.0377,0.120817,27.0696,27.0591,22.1322,9.215333,0,3.7526,0.375257
SYN-BLR-01-2022-0000265-f80bcd,BLR-01,dry,8,6,36.8279,0.074017,35.3826,30.9036,31.6022,6.578459,0,2.8,0.279997
SYN-BLR-03-2026-0000717-03c204,BLR-03,monsoon,17,2,88.3749,0.07765,49.031,19.4136,51.6536,14.390736,0,8.142,0.8142
SYN-BLR-05-2025-0001877-3cc0b6,BLR-05,monsoon,12,2,76.6883,0.092338,37.2353,11.7709,38.3112,11.122253,0,6.7091,0.670913
SYN-BLR-03-2023-0001191-64aea1,BLR-03,pre_monsoon,18,6,57.2762,0.362559,43.7335,25.5118,41.8254,12.487994,0,4.2972,0.429721
SYN-BLR-02-2026-0000542-18fa95,BLR-02,monsoon,9,1,73.0801,0.123483,42.7653,10.943,49.5967,10.72412,0,6.8239,0.682394
SYN-BLR-06-2026-0001716-99e4ce,BLR-06,pre_monsoon,3,2,58.627,0.056457,43.4439,20.9941,36.6861,10.617978,0,4.9836,0.498358
SYN-BLR-06-2026-0000906-caf91d,BLR-06,monsoon,15,5,71.0744,0.551016,60.9413,23.9826,69.8458,22.936006,0,5.196,0.519599
SYN-BLR-04-2024-0002458-240684,BLR-04,monsoon,21,5,72.529,0.099429,41.9526,18.1408,43.9096,9.882894,0,6.068,0.606799
SYN-BLR-02-2025-0001094-f04b0d,BLR-02,dry,11,0,16.0763,0.051092,29.3163,30.5799,32.3967,8.975187,1,2.3277,0.232766
SYN-BLR-01-2026-0000463-0e305f,BLR-01,dry,9,2,25.8372,0.104463,31.4202,30.3822,24.0298,8.10489,0,2.4971,0.249708
SYN-BLR-02-2024-0000464-e0fcc6,BLR-02,monsoon,21,5,67.5584,0.282078,47.8152,19.0621,46.2606,11.078575,0,5.2698,0.526983
SYN-BLR-03-2023-0000543-f08852,BLR-03,post_monsoon,19,6,48.3333,0.10872,40.8626,25.7045,31.5805,8.147448,0,4.136,0.413602
SYN-BLR-06-2023-0000522-9be588,BLR-06,dry,13,5,27.8713,0.105655,37.8896,27.2642,21.9272,7.514254,0,2.7898,0.278979
SYN-BLR-06-2023-0001722-7f5d53,BLR-06,dry,8,2,20.7545,0.573308,56.2949,28.1563,39.4207,14.291665,0,1.2514,0.125138
SYN-BLR-06-2022-0000708-4b8d3b,BLR-06,dry,22,6,14.6325,0.369145,47.4753,24.2212,36.3324,16.880015,0,1.0529,0.10529
SYN-BLR-04-2026-0002032-6f0cca,BLR-04,dry,14,0,18.4758,0.106154,26.2933,24.2596,13.9367,12.000279,0,2.0367,0.203665
SYN-BLR-04-2025-0001114-3c1716,BLR-04,pre_monsoon,5,2,31.2259,0.071168,24.9002,20.858,24.2402,8.654553,0,3.1746,0.317459
SYN-BLR-06-2026-0002466-a14a09,BLR-06,monsoon,16,1,71.6529,0.074406,35.266,16.8291,38.1741,9.301744,0,6.1709,0.617086
SYN-BLR-02-2023-0001742-4e8ca1,BLR-02,monsoon,19,0,74.3376,0.569593,66.626,23.9808,89.9198,25.632304,3,6.3688,0.636884
SYN-BLR-02-2026-0000920-764425,BLR-02,post_monsoon,13,6,65.3519,0.07631,47.5261,21.7653,45.2575,14.835245,0,5.6938,0.569382
SYN-BLR-06-2025-0002514-04ba6e,BLR-06,dry,12,5,29.3693,0.059142,21.852,33.1882,24.0108,7.581187,0,2.8657,0.286573
SYN-BLR-02-2024-0000536-37ee10,BLR-02,dry,10,5,11.1654,0.084695,27.0847,32.0465,11.4441,8.830469,0,1.0589,0.105891
SYN-BLR-02-2025-0002402-0ab29f,BLR-02,dry,22,6,19.2006,0.063206,41.7464,32.5897,14.8899,6.781397,0,2.2729,0.227293
SYN-BLR-03-2024-0000489-c6baa1,BLR-03,monsoon,10,6,83.4981,0.393353,54.4935,20.9316,57.604,14.249866,0,6.4965,0.649654
SYN-BLR-06-2026-0000840-22b750,BLR-06,monsoon,23,2,64.7929,0.060095,42.4401,12.182,37.8311,12.963235,0,6.318,0.631803
SYN-BLR-03-2024-0000321-8b2031,BLR-03,monsoon,14,4,98.0296,0.056441,44.9926,16.4329,59.579,8.651171,1,8.6779,0.867785
SYN-BLR-06-2024-0002088-ebf6d4,BLR-06,pre_monsoon,18,1,51.0716,0.562857,62.8446,24.9145,47.6688,19.153346,0,3.5006,0.350062
SYN-BLR-01-2022-0002725-6ac909,BLR-01,dry,11,4,19.3574,0.086651,31.8463,36.2709,13.767,5.218057,0,2.6917,0.269172
SYN-BLR-03-2022-0000015-0d9d6c,BLR-03,post_monsoon,22,0,51.0305,0.117934,42.6117,23.0165,34.5189,10.445187,0,4.4314,0.443138
SYN-BLR-05-2025-0002759-b1791e,BLR-05,monsoon,7,1,70.0486,0.279512,48.948,5.0667,44.5459,15.674828,0,5.8014,0.580135
SYN-BLR-01-2024-0000337-e3f8e9,BLR-01,dry,12,3,28.3577,0.379775,51.0871,27.7295,34.1885,15.123503,0,1.76,0.176003
SYN-BLR-02-2022-0000824-7886c1,BLR-02,pre_monsoon,8,0,50.3636,0.053889,27.3265,23.2837,31.7639,7.93174,0,4.8003,0.480027
SYN-BLR-01-2026-0001831-943de1,BLR-01,post_monsoon,14,0,36.6574,0.068347,28.7228,21.4608,19.4698,9.590553,0,3.6013,0.360134
SYN-BLR-06-2022-0001494-1a80f5,BLR-06,dry,20,5,33.1701,0.091744,16.9256,28.5091,35.0538,10.482445,1,2.9927,0.299275
SYN-BLR-01-2025-0000751-57ac94,BLR-01,monsoon,22,6,87.3966,0.073859,46.2053,14.8376,48.6018,8.816451,0,7.1365,0.713647
SYN-BLR-01-2022-0001705-9bca0e,BLR-01,post_monsoon,15,0,43.1475,0.102155,32.8089,30.9851,37.9073,8.301777,0,4.4859,0.448588
SYN-BLR-06-2024-0002538-a59ed1,BLR-06,dry,20,1,24.3124,0.052124,40.6821,26.247,15.6205,5.431394,0,2.1827,0.218274
SYN-BLR-05-2023-0000815-c0c9b2,BLR-05,dry,15,4,5.5685,0.087782,37.3008,21.5885,23.584,7.704593,0,1.8937,0.189366
SYN-BLR-06-2025-0002736-367dc2,BLR-06,monsoon,9,3,78.5629,0.565879,65.2908,16.7573,57.8532,20.153767,0,5.9916,0.599161
SYN-BLR-04-2023-0002710-1e69d0,BLR-04,monsoon,14,4,88.1339,0.113921,45.4653,21.415,46.727,10.817615,0,7.7592,0.775919
SYN-BLR-04-2025-0002008-1d896e,BLR-04,dry,13,4,26.1594,0.073152,32.3031,32.1662,48.5691,11.431835,2,3.2416,0.324164
SYN-BLR-05-2025-0002669-6a3ed1,BLR-05,monsoon,22,0,70.0732,0.093981,37.7943,14.3952,38.4619,16.242267,0,6.3264,0.632641
SYN-BLR-03-2023-0001149-d880b7,BLR-03,monsoon,16,0,64.893,0.265142,43.0064,19.2962,42.8073,15.004464,0,5.2726,0.527259
SYN-BLR-06-2025-0000114-19ea36,BLR-06,post_monsoon,20,0,20.6431,0.076802,43.5134,23.7281,26.4665,5.613498,0,2.7166,0.271656
SYN-BLR-02-2023-0001202-067b2e,BLR-02,monsoon,15,5,88.3318,0.312626,66.2602,23.1949,58.7797,19.420141,0,7.1925,0.71925
SYN-BLR-03-2024-0002625-65163e,BLR-03,post_monsoon,23,5,53.9229,0.390576,52.6138,20.7359,40.0932,19.948239,0,3.056,0.305596
