zone_id,year,week_of_year,season_index,week_of_season,risk_tier_index,radius_km,rain_norm_mean,rain_norm_p95,traffic_norm_mean,outage_active_ratio,event_flag_active_ratio,aqi_norm_mean,recent_4week_disruption_days,prev_4week_zdi_mean,prev_4week_zdi_p95,seasonal_disruption_days
BLR-01,2022,1,1,1,2,2.5,28.368,38.904,36.12,0.03511,0.00875,25.275,0.0,0.0,0.0,0.415
BLR-02,2022,1,1,1,2,2.5,13.749,23.866,25.689,0.03896,0.03223,16.456,0.0,0.0,0.0,0.443
BLR-03,2022,1,1,1,2,2.5,32.553,53.42,40.262,0.03959,0.03229,14.64,0.0,0.0,0.0,0.978
BLR-04,2022,1,1,1,1,2.5,9.224,29.617,21.171,0.02092,0.02818,18.929,0.0,0.0,0.0,0.495
BLR-05,2022,1,1,1,0,2.5,12.509,29.076,35.475,0.01919,0.01481,23.348,0.0,0.0,0.0,0.199
BLR-06,2022,1,1,1,1,2.5,17.531,34.361,27.848,0.0328,0.03958,20.933,0.0,0.0,0.0,0.255
BLR-01,2022,2,1,2,2,2.5,28.118,42.937,35.005,0.04386,0.00844,27.332,0.415,28.817,29.552,0.56
BLR-02,2022,2,1,2,2,2.5,18.449,32.889,31.785,0.03025,0.02245,16.236,0.443,23.079,30.113,0.683
BLR-03,2022,2,1,2,2,2.5,20.385,31.233,31.734,0.03755,0.00439,19.196,0.978,32.287,35.927,0.711
BLR-04,2022,2,1,2,1,2.5,2.294,27.788,25.181,0.03441,0.00046,20.018,0.495,20.456,30.147,0.738
BLR-05,2022,2,1,2,0,2.5,7.949,35.117,29.764,0.02027,0.03503,22.289,0.199,27.19,29.711,0.279
BLR-06,2022,2,1,2,1,2.5,12.717,25.468,24.318,0.03079,0.0305,22.893,0.255,23.283,32.986,0.513
BLR-01,2022,3,1,3,2,2.5,34.122,59.092,36.973,0.10991,0.05751,29.514,0.488,28.731,30.569,1.331
BLR-02,2022,3,1,3,2,2.5,27.715,47.611,38.017,0.04245,0.0106,18.543,0.563,21.617,26.526,0.674
BLR-03,2022,3,1,3,2,2.5,15.593,37.291,45.723,0.03535,0.01752,22.871,0.845,26.499,32.025,0.92
BLR-04,2022,3,1,3,1,2.5,18.428,39.788,33.369,0.03811,0.00916,22.3,0.617,16.833,25.838,0.962
BLR-05,2022,3,1,3,0,2.5,23.467,43.746,40.575,0.03069,0.01891,23.262,0.239,23.918,33.383,0.811
BLR-06,2022,3,1,3,1,2.5,8.511,30.631,29.512,0.02197,0.03937,22.335,0.384,20.181,29.034,0.391
BLR-01,2022,4,1,4,2,2.5,17.043,32.057,33.322,0.04347,0.00999,25.335,0.769,36.032,46.215,0.627
BLR-02,2022,4,1,4,2,2.5,31.138,57.813,22.1,0.02833,0.03395,19.999,0.6,24.971,28.473,0.843
BLR-03,2022,4,1,4,2,2.5,27.69,51.804,32.741,0.03346,0.0182,30.74,0.87,27.024,32.305,0.669
BLR-04,2022,4,1,4,1,2.5,13.431,33.856,42.7,0.03496,0.02169,25.89,0.732,19.503,28.147,0.62
BLR-05,2022,4,1,4,0,2.5,16.378,29.723,29.67,0.0285,0.0238,23.577,0.43,24.854,34.691,0.449
BLR-06,2022,4,1,4,1,2.5,13.424,33.93,26.882,0.03869,0.02091,24.334,0.386,20.818,29.952,0.8
BLR-01,2022,5,1,5,2,2.5,21.384,44.917,35.925,0.03417,0.0029,32.795,0.733,33.826,42.471,0.773
BLR-02,2022,5,1,5,2,2.5,34.304,60.131,29.881,0.02815,0.01478,23.966,0.661,26.464,31.142,0.403
BLR-03,2022,5,1,5,2,2.5,34.046,49.435,35.883,0.04378,0.02654,30.576,0.82,27.385,31.961,1.043
BLR-04,2022,5,1,5,1,2.5,10.454,24.119,23.708,0.02528,0.02537,21.592,0.704,21.345,27.659,0.406
BLR-05,2022,5,1,5,0,2.5,13.916,37.796,29.298,0.02024,0.02548,23.564,0.434,24.648,33.774,0.568
BLR-06,2022,5,1,5,1,2.5,27.639,47.46,25.676,0.03165,0.03338,25.458,0.49,22.621,31.337,1.179
BLR-01,2022,6,1,6,2,2.5,31.232,45.013,25.088,0.02706,0.00998,32.138,0.823,33.561,44.702,0.903
BLR-02,2022,6,1,6,2,2.5,33.853,61.425,31.02,0.04263,0.03243,28.403,0.651,27.738,30.662,1.356
BLR-03,2022,6,1,6,2,2.5,30.192,44.994,26.208,0.02716,0.03149,32.55,0.836,28.33,34.335,1.159
BLR-04,2022,6,1,6,1,2.5,14.368,28.464,37.685,0.02386,0.00095,21.027,0.681,20.96,26.297,0.476
BLR-05,2022,6,1,6,0,2.5,0.34,19.992,33.938,0.01731,0.03757,24.928,0.527,22.435,32.895,0.376
BLR-06,2022,6,1,6,1,2.5,9.118,24.764,31.954,0.03023,0.02425,23.651,0.721,24.486,31.744,0.871
BLR-01,2022,7,1,7,2,2.5,29.66,52.61,32.743,0.05578,0.13003,29.977,0.908,31.938,42.391,1.49
BLR-02,2022,7,1,7,2,2.5,21.395,38.746,35.577,0.03091,0.0161,29.738,0.819,31.978,35.477,0.567
BLR-03,2022,7,1,7,2,2.5,19.202,39.065,28.183,0.03074,2e-05,28.802,0.948,29.513,35.279,0.424
BLR-04,2022,7,1,7,1,2.5,19.536,45.757,35.918,0.02339,0.03184,24.593,0.616,24.081,29.362,0.537
BLR-05,2022,7,1,7,0,2.5,14.064,28.108,21.014,0.01549,0.00797,24.723,0.551,21.312,30.153,0.376
BLR-06,2022,7,1,7,1,2.5,15.295,37.829,27.211,0.02488,0.01978,24.239,0.81,25.943,32.523,0.22
BLR-01,2022,8,1,8,2,2.5,19.673,46.917,32.078,0.026,0.02072,29.404,0.948,29.418,37.401,0.814
BLR-02,2022,8,1,8,2,2.5,31.049,58.149,33.672,0.03725,0.03566,28.762,0.792,31.326,37.571,0.648
BLR-03,2022,8,1,8,2,2.5,22.729,37.394,26.729,0.03775,0.00989,28.802,0.824,28.901,34.575,0.543
BLR-04,2022,8,1,8,1,2.5,16.936,32.691,33.657,0.02277,0.02161,25.376,0.51,25.103,30.091,0.496
BLR-05,2022,8,1,8,0,2.5,8.001,21.724,27.368,0.0331,0.01681,21.842,0.442,19.822,27.474,0.161
BLR-06,2022,8,1,8,1,2.5,23.583,47.145,32.877,0.03907,0.03414,21.869,0.768,25.995,32.133,0.688
BLR-01,2022,9,1,9,2,2.5,24.226,34.748,38.054,0.03858,0.01345,27.992,0.995,30.787,38.416,0.743
BLR-02,2022,9,1,9,2,2.5,28.919,49.079,34.613,0.03785,0.00108,29.998,0.744,31.434,38.609,0.838
BLR-03,2022,9,1,9,2,2.5,18.285,35.109,39.265,0.04164,0.03008,28.55,0.792,27.405,33.188,0.741
BLR-04,2022,9,1,9,1,2.5,12.89,36.953,35.857,0.03508,0.02607,26.831,0.479,25.273,31.712,0.639
BLR-05,2022,9,1,9,0,2.5,10.253,24.176,23.351,0.03034,0.02798,23.84,0.37,17.856,26.02,0.369
BLR-06,2022,9,1,9,1,2.5,20.8,31.262,31.069,0.03355,0.01248,25.05,0.74,27.149,32.18,0.534
BLR-01,2022,10,1,10,2,2.5,21.061,44.966,30.302,0.03701,0.03401,32.156,0.988,31.11,36.469,0.571
BLR-02,2022,10,1,10,2,2.5,18.104,34.246,36.027,0.04145,0.03398,33.41,0.852,32.665,42.528,0.411
BLR-03,2022,10,1,10,2,2.5,14.029,41.408,33.999,0.04116,0.0108,26.152,0.717,25.787,31.938,0.794
BLR-04,2022,10,1,10,1,2.5,24.745,36.305,24.119,0.02488,0.03527,23.903,0.537,26.708,34.377,0.684
BLR-05,2022,10,1,10,0,2.5,15.721,40.082,33.534,0.03261,0.01361,23.402,0.321,19.042,26.454,0.626
BLR-06,2022,10,1,10,1,2.5,16.701,40.348,24.949,0.03292,0.02762,21.791,0.578,25.345,30.237,0.72
BLR-01,2022,11,1,11,2,2.5,20.261,38.779,37.666,0.03351,0.02124,30.864,0.904,34.426,42.016,0.547
BLR-02,2022,11,1,11,2,2.5,25.85,38.002,35.557,0.04024,0.02143,32.34,0.616,31.66,40.427,0.776
BLR-03,2022,11,1,11,2,2.5,18.164,29.974,30.027,0.02955,0.00776,26.851,0.626,25.693,31.137,0.526
BLR-04,2022,11,1,11,1,2.5,9.239,21.512,26.173,0.02982,0.03474,26.353,0.589,26.869,33.349,0.554
BLR-05,2022,11,1,11,0,2.5,27.54,46.139,35.905,0.02301,0.03288,26.1,0.383,20.598,30.085,0.754
BLR-06,2022,11,1,11,1,2.5,11.64,23.772,44.52,0.03213,0.03058,23.416,0.54,25.837,32.066,0.54
BLR-01,2022,12,1,12,2,2.5,34.626,50.122,23.279,0.03719,0.02484,29.702,0.669,30.541,35.27,0.965
BLR-02,2022,12,1,12,2,2.5,25.044,36.395,35.148,0.03401,0.00011,29.659,0.668,32.354,37.668,1.011
BLR-03,2022,12,1,12,2,2.5,14.229,40.86,32.677,0.0375,0.03151,24.729,0.651,25.018,29.606,0.793
BLR-04,2022,12,1,12,1,2.5,27.423,38.709,27.293,0.02615,0.00664,26.23,0.593,23.891,28.7,0.748
BLR-05,2022,12,1,12,0,2.5,9.544,28.552,16.23,0.01661,0.01975,27.531,0.477,23.253,33.447,0.585
BLR-06,2022,12,1,12,1,2.5,29.083,49.437,31.744,0.03999,0.03803,23.448,0.621,25.593,29.818,0.91
BLR-01,2022,13,1,13,2,2.5,15.252,28.519,21.682,0.0377,0.02341,28.318,0.707,28.589,34.203,0.751
BLR-02,2022,13,1,13,2,2.5,26.362,48.848,30.264,0.0439,0.01153,30.144,0.759,30.83,34.338,0.837
