event_id,zone_id,season_index,day_of_week,start_hour,risk_tier_index,radius_km,rain_norm_mean,traffic_norm_mean,aqi_norm_mean,outage_active_ratio,event_flag_active_ratio,peak_zdi_first_hour,zdi_rise_rate_first_hour,payout_rate
SYN-SEV-BLR-02-2025-0000218-35d582,BLR-02,3,4,13,2,2.5,89.535,55.0943,22.1552,0.091412,0.03986,54.1571,10.422882,0.7
SYN-SEV-BLR-06-2024-0001152-bf64ca,BLR-06,4,4,8,1,2.5,43.8706,38.1782,26.7461,0.104173,0.023213,31.5124,6.670958,0.4
SYN-SEV-BLR-02-2024-0001928-a832f2,BLR-02,3,1,7,2,2.5,85.9133,40.6729,15.2605,0.090684,0.024614,47.8037,8.10599,0.7
SYN-SEV-BLR-04-2023-0001792-3e3503,BLR-04,4,6,13,1,2.5,27.0552,57.1477,20.7703,0.390762,0.000431,35.8048,14.138507,0.4
SYN-SEV-BLR-02-2024-0001028-420ee9,BLR-02,3,3,21,2,2.5,66.1397,40.1071,15.9884,0.073639,0.013285,35.6996,8.706496,0.4
SYN-SEV-BLR-02-2025-0000674-1fc020,BLR-02,1,1,15,2,2.5,37.0383,67.3362,29.0709,0.518432,0.009094,50.1881,14.261613,0.7
SYN-SEV-BLR-06-2024-0001278-13aa65,BLR-06,3,1,0,1,2.5,57.0551,57.4586,14.8829,0.399635,0.010978,51.3693,14.390709,0.7
SYN-SEV-BLR-01-2024-0002029-fa2cd6,BLR-01,2,6,9,2,2.5,59.4252,58.6611,25.6304,0.07202,0.000961,48.7126,5.856581,0.7
SYN-SEV-BLR-05-2026-0000563-066178,BLR-05,4,6,7,0,2.5,31.3177,46.1031,16.7234,0.024369,0.017191,25.0,5.912072,0.4
SYN-SEV-BLR-02-2023-0000986-8d735a,BLR-02,2,1,19,2,2.5,59.1677,52.5463,25.1368,0.085482,0.237617,46.152,9.560415,0.7
SYN-SEV-BLR-06-2025-0000750-b164ea,BLR-06,3,2,18,1,2.5,59.9272,60.926,15.509,0.295027,0.006006,46.0017,9.794161,0.4
SYN-SEV-BLR-02-2025-0000890-befbbc,BLR-02,4,5,11,2,2.5,51.3176,53.2721,15.1877,0.247237,0.025346,39.9168,11.913252,0.4
SYN-SEV-BLR-03-2022-0002673-2d3ae6,BLR-03,1,0,21,2,2.5,25.234,47.163,27.9898,0.105448,0.023519,25.9105,5.903477,0.4
